School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
I.S. 522 - BROOKLYN,K,23,PLANYC BOILER/PLANYC CLIMATE CONTROL,7420000,CIP,K271,1137 HERKIMER STREET,Brooklyn,11233,BROOKLYN,40.677805,-73.915843,16,41,301,3042157,3015500001,Ocean Hill,"(40.677805, -73.915843)",02/06/2019
P.S. 274 - BROOKLYN,K,32,FY18 RESO A ELECTRICAL SYSTEM,107372,CIP,K274,800 BUSHWICK AVENUE,Brooklyn,11221,BROOKLYN,40.694921,-73.927931,4,34,393,3073752,3032410037,Bushwick South,"(40.694921, -73.927931)",02/06/2019
P.S. 284 - BROOKLYN,K,23,FY18 RESO A SCIENCE LAB UPGRADES,478864,CIP,K284,213 OSBORN STREET,Brooklyn,11212,BROOKLYN,40.667377,-73.908214,16,41,912,3081460,3035440135,Brownsville,"(40.667377, -73.908214)",02/06/2019
P.S. 284 - BROOKLYN,K,23,LOW VOLTAGE ELECTRICAL SYSTEM/WATER PENETRATION,2331000,CIP,K284,213 OSBORN STREET,Brooklyn,11212,BROOKLYN,40.667377,-73.908214,16,41,912,3081460,3035440135,Brownsville,"(40.667377, -73.908214)",02/06/2019
P.S. 288 - BROOKLYN,K,21,ROOF,3493083,CIP,K288,2950 WEST 25 STREET,Brooklyn,11224,BROOKLYN,40.574411,-73.99194,13,47,342,3189538,3070540045,Seagate-Coney Island,"(40.574411, -73.99194)",02/06/2019
P.S. 290 - BROOKLYN,K,19,ROOFS/WINDOWS/PARAPETS,2880000,CIP,K290,135 SCHENCK AVENUE,Brooklyn,11207,BROOKLYN,40.67789,-73.889758,5,37,1198,3087821,3039490018,East New York,"(40.67789, -73.889758)",02/06/2019
K053 SPED - BROOKLYN,K,32,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,504000,CIP,K296,125 COVERT STREET,Brooklyn,11207,BROOKLYN,40.688387,-73.910276,4,37,413,3079027,3034160001,Bushwick South,"(40.688387, -73.910276)",02/06/2019
P.S. 298 - BROOKLYN,K,23,ENY PLAYGROUND UPGRADE,337600,CIP,K298,85 WATKINS STREET,Brooklyn,11212,BROOKLYN,40.670986,-73.908194,16,37,906,3080768,3035070007,Brownsville,"(40.670986, -73.908194)",02/06/2019
YOUNG SCHOLAR'S ACADEMY - BROO,K,16,STRUCTURAL DEFECTS/EXT MASONRY,3777000,CIP,K304,280 HART STREET,Brooklyn,11206,BROOKLYN,40.694086,-73.940744,3,36,281,3049420,3017730014,Stuyvesant Heights,"(40.694086, -73.940744)",02/06/2019
P.S. 178 - BRONX,X,11,WINDOWS,3247000,CIP,X178,850 BAYCHESTER AVENUE,Bronx,10475,BRONX,40.875894,-73.833863,10,12,46201,2116161,2051410150,Co-op City,"(40.875894, -73.833863)",02/06/2019
P.S. 307 - BROOKLYN,K,13,RENOVATION OF CLASSROOM 332,255965,CIP,K307,209 YORK STREET,Brooklyn,11201,BROOKLYN,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.701343, -73.982314)",02/06/2019
P.S. 312 - BROOKLYN,K,22,WATER PENETRATION,774786,CIP,K312,7103 AVENUE T,Brooklyn,11234,BROOKLYN,40.621413,-73.908987,18,46,69602,3236665,3083930001,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.621413, -73.908987)",02/06/2019
P.S. 503 - BROOKLYN,K,20,EXTERIOR MASONRY/PARAPETS/ROOFS,4970000,CIP,K314,330 59 STREET,Brooklyn,11220,BROOKLYN,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West,"(40.642121, -74.018997)",02/06/2019
P.S. 503 - BROOKLYN,K,20,FY16 RESO A PLAYGROUND REDEVELOPMENT,878000,CIP,K314,330 59 STREET,Brooklyn,11220,BROOKLYN,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West,"(40.642121, -74.018997)",02/06/2019
P.S. 375 - BROOKLYN,K,17,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6238000,CIP,K320,46 MCKEEVER PLACE,Brooklyn,11225,BROOKLYN,40.665035,-73.959031,9,35,325,3034356,3013010001,Crown Heights South,"(40.665035, -73.959031)",02/06/2019
P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,5581000,CIP,K321,180 7TH AVENUE,Brooklyn,11215,BROOKLYN,40.67146,-73.977783,6,39,155,3337516,3009710028,Park Slope-Gowanus,"(40.67146, -73.977783)",02/06/2019
P.S. 335 - BROOKLYN,K,16,PARTIAL ACESSIBILITY,503250,CIP,K335,130 ROCHESTER AVENUE,Brooklyn,11213,BROOKLYN,40.674656,-73.927794,8,36,307,3035887,3013550023,Crown Heights North,"(40.674656, -73.927794)",02/06/2019
P.S. 346 - BROOKLYN,K,19,PARTIAL ACCESSIBILITY RAMPS,294571,CIP,K346,1400 PENNSYLVANIA AVENUE,Brooklyn,11239,BROOKLYN,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City,"(40.64726, -73.881114)",02/06/2019
THE SCIENCE AND MEDICINE MIDDL,K,18,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,175775,CIP,K366,965 EAST 107 STREET,Brooklyn,11236,BROOKLYN,40.647323,-73.892022,18,46,984,3396940,3082150012,Canarsie,"(40.647323, -73.892022)",02/06/2019
COY L. COX SCHOOL,K,15,DEFECTIVE EXT WALL/FLOOD ELIMINATION/PARAPETS/ROOF,4525000,CIP,K369,383 STATE STREET,Brooklyn,11217,BROOKLYN,40.687257,-73.983579,2,33,41,3000567,3001720055,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.687257, -73.983579)",02/06/2019
P.S. 377 - BROOKLYN,K,32,LL 41-16 COMPLIANCE,44175.77,CIP,K377,200 WOODBINE STREET,Brooklyn,11221,BROOKLYN,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South,"(40.694018, -73.915263)",02/06/2019
M.S. 354 - BROOKLYN,K,17,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,6409024,CIP,K390,1224 PARK PLACE,Brooklyn,11213,BROOKLYN,40.672713,-73.936924,8,36,343,3036405,3013700029,Crown Heights North,"(40.672713, -73.936924)",02/06/2019
P.S. 109 - BROOKLYN,K,22,DEFECTIVE GYMNASIUM WALLS/ROOFS/PARAPETS,3783000,CIP,K395,1001 EAST 45 STREET,Brooklyn,11203,BROOKLYN,40.636455,-73.933582,17,45,836,3114526,3050220002,East Flatbush-Farragut,"(40.636455, -73.933582)",02/06/2019
K396 SPED - BROOKLYN,K,23,ELEVATOR,1722600,CIP,K396,110 CHESTER STREET,Brooklyn,11212,BROOKLYN,40.668856,-73.911499,16,41,924,3081032,3035200008,Brownsville,"(40.668856, -73.911499)",02/06/2019
MIDWOOD HS - BROOKLYN,K,21,CRACKED CONCRETE STRUCTURE/FIELD HOUSE,18211000,CIP,K406,1124 EAST 17 STREET,Brooklyn,11210,BROOKLYN,40.622641,-73.958988,14,44,768,3000000,3067260087,Midwood,"(40.622641, -73.958988)",02/06/2019
ABRAHAM LINCOLN HS - BROOKLYN,K,21,SANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,39842974,CIP,K411,2800 OCEAN PARKWAY,Brooklyn,11235,BROOKLYN,40.581681,-73.967308,13,47,354,3196293,3072540001,West Brighton,"(40.581681, -73.967308)",02/06/2019
MULTICULTURAL HS - BROOKLYN,K,19,PARAPETS/FLOOD ELIMINATION/ROOFS/EXTERIOR MASONRY,38969000,CIP,K420,999 JAMAICA AVENUE,Brooklyn,11208,BROOKLYN,40.691146,-73.868328,5,37,1180,3090738,3040940001,park-cemetery-etc-Brooklyn,"(40.691146, -73.868328)",02/06/2019
JAMES MADISON HS - BROOKLYN,K,22,FY16 RESO A AUDITORIUM UPGRADE,680000,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN,40.609912,-73.948512,15,48,642,3182721,3067880001,Madison,"(40.609912, -73.948512)",02/06/2019
JAMES MADISON HS - BROOKLYN,K,22,SWIMMING POOL,5779000,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN,40.609912,-73.948512,15,48,642,3182721,3067880001,Madison,"(40.609912, -73.948512)",02/06/2019
BROOKLYN TECH HS - K,K,13,EXTERIOR MASONRY/ROOFS/PARAPETS/WINDOWS/PAVED AREA,23760000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,BROOKLYN,40.688834,-73.976905,2,35,33,3058752,3020980013,Fort Greene,"(40.688834, -73.976905)",02/06/2019
BROOKLYN TECH HS - K,K,13,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,4291000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,BROOKLYN,40.688834,-73.976905,2,35,33,3058752,3020980013,Fort Greene,"(40.688834, -73.976905)",02/06/2019
BROOKLYN TECH HS - K,K,13,FY14 RESO A ATHLETIC FIELDS,7617000,CIP,K431,490 CLERMONT AVENUE,Brooklyn,11238,BROOKLYN,40.682986,-73.968852,2,35,179,,,Fort Greene,"(40.682986, -73.968852)",02/06/2019
PERFORMING ARTS AND TECH. HS -,K,19,FY14 RESO A GYMNASIUM UPGRADE,1032000,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.667456,-73.894747,5,42,1156,3084440,3037880001,East New York (Pennsylvania Ave),"(40.667456, -73.894747)",02/06/2019
